"仗剑","60"
"玩家名字","职业","击败/清泉","助攻","资源","对玩家伤害","人伤卸甲","对建筑伤害","破塔卸甲","治疗值","承受伤害","重伤","复活/清泉","焚骨"
"二月二十九","沧澜"," 5/1","69","0","4032664","0","6449652","0","0","11910609","9","0","0"
"宁卿月","鸿音"," 0/0","214","0","24936","0","7029","0","7777350","8461862","7","0","0"
"未来灬","血河"," 14/2","106","0","7576404","0","127242","0","1349428","7677300","7","0","0"
"烟雨江南却痴缠","龙吟"," 6/3","69","0","2825556","0","8200870","0","0","8467739","8","0","0"
"名字57639001170","素问"," 0/0","251","0","17273","0","4467","0","12688801","6310719","3","8","0"
"陆雨涵","鸿音"," 0/0","223","0","27114","0","2265","0","9011570","5252211","5","11","0"
"雪中吟","神相"," 26/4","178","0","8705860","0","456453","0","0","4421500","3","0","0"
"杉宝","素问"," 0/0","191","0","6105","0","1004","0","9679872","7501925","5","9","0"
"铁十堰","潮光"," 10/2","144","0","4342911","0","76060","0","162589","4762765","6","13","0"
"糖醋小丸紫","铁衣"," 0/0","33","0","345984","0","219287","0","46492","7524492","4","0","0"
"只听小九的话","鸿音"," 13/4","84","0","4250421","549411","3576267","2742550","0","4549167","7","0","0"
"时辰","碎梦"," 12/3","81","0","2785021","0","75231","0","0","5516177","8","0","0"
"京昭小雪年年","潮光"," 21/2","131","0","5343877","0","692642","0","149691","6107842","5","20","0"
"单恋","素问"," 0/0","219","0","27438","0","6145","0","10619477","4926490","6","1","0"
"风椋","潮光"," 2/1","73","0","3020845","0","11558667","0","19292","5819710","5","14","0"
"特拽","碎梦"," 18/2","136","0","5175416","0","44026","0","0","6738643","12","0","0"
"所念所想都是你","沧澜"," 11/3","94","0","7103869","0","14600031","0","0","12245741","2","0","0"
"玩的开心","神相"," 11/1","144","0","6163572","0","189602","0","0","4278888","4","0","0"
"魁渊","铁衣"," 2/0","145","0","1644473","0","816783","0","56999","15859665","3","0","0"
"晨怜","素问"," 0/0","227","0","16061","0","667","0","10658067","5959407","6","11","0"
"巷邶","铁衣"," 1/0","129","0","1374129","0","2306875","0","0","13180832","4","0","0"
"雪峰部圣手宁玉","鸿音"," 0/0","208","0","0","0","0","0","7042699","9572549","5","6","0"
"百分百纯犟种","龙吟"," 10/1","61","0","2911452","0","13855803","0","0","7254190","1","0","0"
"冰柠檬","血河"," 17/5","95","0","11137068","0","51491","0","1859837","10168217","8","0","0"
"封焉","玄机"," 18/1","85","0","3822891","0","2507192","0","0","3306713","4","0","0"
"小鹤神","九灵"," 18/5","176","0","7329717","0","126259","0","0","8405088","11","0","37"
"寻灵","沧澜"," 14/3","94","0","5613344","0","5760607","0","0","13337763","5","0","0"
"无奈丶花落","铁衣"," 0/1","106","0","1753903","0","1807561","0","48254","19695636","7","0","0"
"许东来","沧澜"," 11/0","63","0","4043468","0","9881451","0","0","10848909","7","0","0"
"不熟","九灵"," 8/0","131","0","3153560","0","240826","0","0","4139412","3","0","46"
"苏骁寒","铁衣"," 2/1","122","0","1166800","0","962687","0","116250","16157613","9","0","0"
"柒年丷","玄机"," 17/4","91","0","4223355","0","3674991","0","0","3906361","8","0","0"
"奈奈安","潮光"," 4/3","100","0","2421594","0","1957140","0","142978","6087042","8","13","0"
