"横戈","59"
"玩家名字","职业","击败/清泉","助攻","资源","对玩家伤害","人伤卸甲","对建筑伤害","破塔卸甲","治疗值","承受伤害","重伤","复活/清泉","焚骨"
"小神仙丶","鸿音"," 7/1","146","0","4946381","451774","1003355","551347","0","5518726","9","0","0"
"烟雨江南却痴缠","龙吟"," 9/3","72","0","3441599","0","10633564","0","0","8675487","6","0","0"
"与芍辞","铁衣"," 0/0","157","0","772166","0","525386","0","57374","15125728","3","0","0"
"無尽夏","潮光"," 1/0","44","0","836073","0","7309715","0","56386","3511806","8","14","0"
"武仙北冕座长城","铁衣"," 3/1","102","0","1794989","0","106210","0","63022","13270533","2","0","0"
"杨玉环","鸿音"," 0/0","26","0","6979","0","33291","0","5573755","6499207","6","2","0"
"说到爱","神相"," 26/3","169","0","8645803","0","87563","0","0","5228367","6","0","0"
"洪波漭漭","潮光"," 1/0","47","0","1995614","0","6479834","0","36577","5036922","5","9","0"
"小狗清清","鸿音"," 0/0","311","0","3372","0","1848","0","10949453","7114378","4","13","0"
"枕棠雪","鸿音"," 0/0","276","0","17591","0","0","0","16596853","8809372","3","7","0"
"璩徽鸾","铁衣"," 3/0","153","0","1108048","0","93776","0","52658","13065469","5","0","0"
"春水煎茶","鸿音"," 0/0","238","0","496","0","0","0","7503947","4756029","6","7","0"
"奈风尘","碎梦"," 16/3","91","0","3615216","0","0","0","0","5938665","9","0","0"
"呆呆蛇","铁衣"," 0/1","60","0","442108","0","2169109","0","131801","10215219","8","0","0"
"风椋","潮光"," 3/1","46","0","1549984","0","12952822","0","89989","3644019","2","14","0"
"落影","龙吟"," 1/0","10","0","893414","0","23265434","0","0","4268846","3","0","0"
"恋人怀中樱花草","玄机"," 17/4","80","0","4256152","0","1392918","0","0","5361478","11","0","0"
"巷邶","血河"," 6/1","100","0","2831066","0","439782","0","933583","8705990","15","0","0"
"小风情","沧澜"," 1/0","38","0","2243867","0","9440461","0","0","8076924","7","0","0"
"拾祁大王","素问"," 0/0","105","0","25834","0","0","0","7375646","4479065","5","1","0"
"修格","素问"," 0/0","262","0","29383","0","6930","0","15001535","6707221","3","12","0"
"小修神","血河"," 17/2","112","0","7474826","0","245970","0","989241","9151741","12","0","0"
"画忆忧","龙吟"," 15/3","55","0","3942938","0","12300810","0","0","8698627","10","0","0"
"書卷","潮光"," 15/2","93","0","3897283","0","4279197","0","117586","8096497","9","17","0"
"命定语","素问"," 0/0","227","0","18894","0","0","0","12348495","8728464","10","7","0"
"小凉茶","沧澜"," 1/0","10","0","950700","0","23466728","0","0","4880425","6","0","0"
"秋池","玄机"," 13/6","59","0","3423089","0","1278222","0","0","2451967","7","0","0"
"李嘉图丷","玄机"," 11/2","26","0","2004214","0","4651406","0","0","2823937","10","0","0"
"奶泷细细听","九灵"," 13/1","128","0","4539766","0","37699","0","0","5769749","8","0","53"
"莳羽丶","潮光"," 0/0","7","0","559398","0","23682491","0","10252","3201434","9","8","0"
"小泣颖丶","鸿音"," 0/0","82","0","4238","0","2287","0","8376083","5455111","3","9","0"
"纳兰怜雪","铁衣"," 0/0","41","0","961979","0","9724598","0","0","12314040","3","0","0"
"英梨梨","玄机"," 24/7","111","0","6677364","0","386523","0","0","5576292","12","0","0"
"心月","素问"," 0/0","235","0","9050","0","1141","0","9206962","2983010","4","2","0"
"小离宝丶","潮光"," 1/0","10","0","885280","0","18336756","0","21408","2962911","7","8","0"
"涂山序曲","血河"," 16/6","138","0","10448970","0","47504","0","1791998","12691781","10","0","0"
"现任","素问"," 0/0","87","0","13463","0","3440","0","5609112","4798923","11","4","0"
"小耳朵丷","鸿音"," 0/0","174","0","0","0","0","0","6318202","7494759","3","10","0"
"纳兰性德","神相"," 20/2","164","0","5737083","0","676545","0","0","5134333","6","0","0"
